Categoria,Título,Caminho,URL Completa,Breadcrumb,Source
acoes-sid,SID.Nfc.GravarParcelasManuais (SRNF) - Gravar Parcelas Manuais Na Nota Fiscal De Compra,/acoes-sid/sid-nfc-gravarparcelasmanuais.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-nfc-gravarparcelasmanuais.htm,,chunk_0
acoes-sid,SID.Nfc.GravarProduto - Gravar Item De Produto Na Nota Fiscal Compra (Incluir),/acoes-sid/sid-nfc-gravarproduto.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-nfc-gravarproduto.htm,,chunk_0
acoes-sid,SID.Nfc.GravarRateioProduto (SRNF) - Gravar Rateio Para Item De Produto,/acoes-sid/sid-nfc-gravarrateioproduto.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-nfc-gravarrateioproduto.htm,,chunk_0
acoes-sid,SID.Nfc.GravarRateioServico (SRNF) - Gravar Rateio Para Item De Serviço,/acoes-sid/sid-nfc-gravarrateioservico.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-nfc-gravarrateioservico.htm,,chunk_0
acoes-sid,SID.Nfc.GravarServico (SRNF) - Gravar Item De Serviço Na Nota Fiscal Compra (Incluir),/acoes-sid/sid-nfc-gravarservico.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-nfc-gravarservico.htm,,chunk_0
acoes-sid,SID.Nft.BuscarItensNFT (RFNF) - Buscar Itens Da Nota Fiscal De Transferência,/acoes-sid/sid-nft-buscaritensnft.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-nft-buscaritensnft.htm,,chunk_0
acoes-sid,SID.Nft.ConfirmarConferencia (RFNF) - Confirmar Conferência Dos Itens Da Nft,/acoes-sid/sid-nft-confirmarconferencia.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-nft-confirmarconferencia.htm,,chunk_0
acoes-sid,SID.Nft.MarcarEPT (RFNF) - Marcar Embalagem/produto Para Transferência,/acoes-sid/sid-nft-marcarept.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-nft-marcarept.htm,,chunk_0
acoes-sid,SID.Nfv.AtualizarCTE (RFNF) - Atualização Da Situação Do Ct Eletrônico,/acoes-sid/sid-nfv-atualizarcte.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-nfv-atualizarcte.htm,,chunk_0
acoes-sid,SID.Nfv.AtualizarNFE (RFNF) - Atualização Da Situação Da Nfv Eletrônica,/acoes-sid/sid-nfv-atualizarnfe.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-nfv-atualizarnfe.htm,,chunk_0
